Rk,Year,Conf,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
1,2017,Pac-12,5,4,0,.556,5.40,5.29,,,,Todd Graham (5-4),,
2,2016,Pac-12,5,7,0,.417,-2.60,3.90,,,,Todd Graham (5-7),,
3,2015,Pac-12,6,7,0,.462,4.91,4.45,15,15,,Todd Graham (6-7),Cactus Bowl-L,
4,2014,Pac-12,10,3,0,.769,13.26,4.11,19,7,12,Todd Graham (10-3),Sun Bowl-W,
5,2013,Pac-12,10,4,0,.714,17.50,9.21,,11,21,Todd Graham (10-4),Holiday Bowl-L,
6,2012,Pac-12,8,5,0,.615,9.00,1.77,,,,Todd Graham (8-5),Fight Hunger Bowl-W,
7,2011,Pac-12,6,7,0,.462,5.10,2.49,,18,,Dennis Erickson (6-7),Maaco Bowl-L,
8,2010,Pac-10,6,6,0,.500,8.42,4.75,,,,Dennis Erickson (6-6),,
9,2009,Pac-10,4,8,0,.333,0.71,2.63,,,,Dennis Erickson (4-8),,
10,2008,Pac-10,5,7,0,.417,1.62,1.70,15,15,,Dennis Erickson (5-7),,
11,2007,Pac-10,10,3,0,.769,13.67,5.51,,6,16,Dennis Erickson (10-3),Holiday Bowl-L,
12,2006,Pac-10,7,6,0,.538,6.28,4.43,24,22,,Dirk Koetter (7-6),Hawaii Bowl-L,
13,2005,Pac-10,7,5,0,.583,9.63,4.63,20,14,,Dirk Koetter (7-5),Insight Bowl-W,
14,2004,Pac-10,9,3,0,.750,15.28,9.61,,15,19,Dirk Koetter (9-3),Sun Bowl-W,
15,2003,Pac-10,5,7,0,.417,-0.86,2.31,22,16,,Dirk Koetter (5-7),,
16,2002,Pac-10,8,6,0,.571,5.38,3.67,,16,,Dirk Koetter (8-6),Holiday Bowl-L,
17,2001,Pac-10,4,7,0,.364,1.25,2.89,,,,Dirk Koetter (4-7),,
18,2000,Pac-10,6,6,0,.500,5.92,4.75,,,,Bruce Snyder (6-6),Aloha Classic-L,
19,1999,Pac-10,6,6,0,.500,0.23,1.81,25,22,,Bruce Snyder (6-6),Aloha Classic-L,
20,1998,Pac-10,5,6,0,.455,2.98,3.71,8,8,,Bruce Snyder (5-6),,
21,1997,Pac-10,9,3,0,.750,12.43,3.85,,12,14,Bruce Snyder (9-3),Sun Bowl-W,
22,1996,Pac-10,11,1,0,.917,19.92,3.59,20,2,4,Bruce Snyder (11-1),Rose Bowl-L,
23,1995,Pac-10,6,5,0,.545,2.94,3.04,,,,Bruce Snyder (6-5),,
24,1994,Pac-10,3,8,0,.273,-1.65,6.17,,,,Bruce Snyder (3-8),,
25,1993,Pac-10,6,5,0,.545,7.33,6.51,,23,,Bruce Snyder (6-5),,
