Rk,Year,Conf,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
1,2017,Pac-12,1,8,0,.111,-11.19,4.48,,,,Cory Hall (0-3) Gary Andersen (1-5),,
2,2016,Pac-12,4,8,0,.333,1.53,5.11,,,,Gary Andersen (4-8),,
3,2015,Pac-12,2,10,0,.167,-7.66,5.51,,,,Gary Andersen (2-10),,
4,2014,Pac-12,5,7,0,.417,-1.42,4.00,,,,Mike Riley (5-7),,
5,2013,Pac-12,7,6,0,.538,8.11,4.72,25,25,,Mike Riley (7-6),Hawaii Bowl-W,
6,2012,Pac-12,9,4,0,.692,12.14,6.06,,7,20,Mike Riley (9-4),Alamo Bowl-L,
7,2011,Pac-12,3,9,0,.250,-4.33,3.84,,,,Mike Riley (3-9),,
8,2010,Pac-10,5,7,0,.417,7.60,9.68,24,24,,Mike Riley (5-7),,
9,2009,Pac-10,8,5,0,.615,8.47,3.17,,13,,Mike Riley (8-5),Las Vegas Bowl-L,
10,2008,Pac-10,9,4,0,.692,10.26,4.80,,17,18,Mike Riley (9-4),Sun Bowl-W,
11,2007,Pac-10,9,4,0,.692,9.93,6.54,,25,25,Mike Riley (9-4),Emerald Bowl-W,
12,2006,Pac-10,10,4,0,.714,9.67,4.88,,21,21,Mike Riley (10-4),Sun Bowl-W,
13,2005,Pac-10,5,6,0,.455,-0.87,3.31,,,,Mike Riley (5-6),,
14,2004,Pac-10,7,5,0,.583,11.80,8.89,,,,Mike Riley (7-5),Insight Bowl-W,
15,2003,Pac-10,8,5,0,.615,7.98,1.82,,22,,Mike Riley (8-5),Las Vegas Bowl-W,
16,2002,Pac-10,8,5,0,.615,9.45,2.60,,23,,Dennis Erickson (8-5),Insight Bowl-L,
17,2001,Pac-10,5,6,0,.455,3.16,2.62,11,10,,Dennis Erickson (5-6),,
18,2000,Pac-10,11,1,0,.917,17.33,3.83,,4,4,Dennis Erickson (11-1),Fiesta Bowl-W,
19,1999,Pac-10,7,5,0,.583,2.76,-0.91,,,,Dennis Erickson (7-5),Oahu Classic-L,
20,1998,Pac-10,5,6,0,.455,1.51,4.05,,,,Mike Riley (5-6),,
21,1997,Pac-10,3,8,0,.273,-3.58,5.15,,,,Mike Riley (3-8),,
22,1996,Pac-10,2,9,0,.182,-12.04,1.23,,,,Jerry Pettibone (2-9),,
23,1995,Pac-10,1,10,0,.091,-12.73,-2.19,,,,Jerry Pettibone (1-10),,
24,1994,Pac-10,4,7,0,.364,2.03,3.94,,,,Jerry Pettibone (4-7),,
25,1993,Pac-10,4,7,0,.364,1.46,6.28,,,,Jerry Pettibone (4-7),,
26,1992,Pac-10,1,9,1,.136,-5.32,9.23,,,,Jerry Pettibone (1-9-1),,
27,1991,Pac-10,1,10,0,.091,-10.08,5.55,,,,Jerry Pettibone (1-10),,
28,1990,Pac-10,1,10,0,.091,-14.19,1.90,,,,Dave Kragthorpe (1-10),,
29,1989,Pac-10,4,7,1,.375,-2.38,5.71,,,,Dave Kragthorpe (4-7-1),,
30,1988,Pac-10,4,6,1,.409,4.77,7.41,,,,Dave Kragthorpe (4-6-1),,
31,1987,Pac-10,2,9,0,.182,-8.15,6.40,,,,Dave Kragthorpe (2-9),,
32,1986,Pac-10,3,8,0,.273,-1.14,7.68,,,,Dave Kragthorpe (3-8),,
33,1985,Pac-10,3,8,0,.273,-9.56,1.90,,,,Dave Kragthorpe (3-8),,
34,1984,Pac-10,2,9,0,.182,-6.58,3.24,,,,Joe Avezzano (2-9),,
35,1983,Pac-10,2,8,1,.227,-12.14,0.41,,,,Joe Avezzano (2-8-1),,
36,1982,Pac-10,1,9,1,.136,-3.77,8.50,,,,Joe Avezzano (1-9-1),,
37,1981,Pac-10,1,10,0,.091,-15.54,4.01,,,,Joe Avezzano (1-10),,
38,1980,Pac-10,0,11,0,.000,-13.14,7.59,,,,Joe Avezzano (0-11),,
39,1979,Pac-10,1,10,0,.091,-9.76,6.33,,,,Craig Fertig (1-10),,record adjusted to 2-9-0 by NCAA
40,1978,Pac-10,3,7,1,.318,1.13,11.03,,,,Craig Fertig (3-7-1),,
41,1977,Pac-8,2,9,0,.182,-0.68,10.23,,,,Craig Fertig (2-9),,record adjusted to 3-8-0 by NCAA
42,1976,Pac-8,2,10,0,.167,-5.50,5.92,,,,Craig Fertig (2-10),,
