Rk,Year,Conf,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
1,2017,Pac-12,5,5,0,.500,3.63,3.43,,24,,Willie Taggart (5-5),,
2,2016,Pac-12,4,8,0,.333,0.70,5.12,24,22,,Mark Helfrich (4-8),,
3,2015,Pac-12,9,4,0,.692,11.05,4.74,7,7,19,Mark Helfrich (9-4),Alamo Bowl-L,
4,2014,Pac-12,13,2,0,.867,22.22,6.02,3,2,2,Mark Helfrich (13-2),Rose Bowl-W College Football Championship-L,
5,2013,Pac-12,11,2,0,.846,21.27,5.03,3,2,9,Mark Helfrich (11-2),Alamo Bowl-W,
6,2012,Pac-12,12,1,0,.923,23.43,4.05,5,1,2,Chip Kelly (12-1),Fiesta Bowl-W,
7,2011,Pac-12,12,2,0,.857,18.80,3.23,3,3,4,Chip Kelly (12-2),Rose Bowl-W,
8,2010,Pac-10,12,1,0,.923,21.54,3.92,11,1,3,Chip Kelly (12-1),BCS Championship-L,
9,2009,Pac-10,10,3,0,.769,15.48,5.33,16,7,11,Chip Kelly (10-3),Rose Bowl-L,
10,2008,Pac-10,10,3,0,.769,12.39,3.08,21,10,10,Mike Bellotti (10-3),Holiday Bowl-W,
11,2007,Pac-10,9,4,0,.692,17.82,6.97,,2,23,Mike Bellotti (9-4),Sun Bowl-W,
12,2006,Pac-10,7,6,0,.538,5.94,5.55,21,11,,Mike Bellotti (7-6),Las Vegas Bowl-L,
13,2005,Pac-10,10,2,0,.833,13.13,3.05,,6,12,Mike Bellotti (10-2),Holiday Bowl-L,
14,2004,Pac-10,5,6,0,.455,4.60,5.42,23,23,,Mike Bellotti (5-6),,
15,2003,Pac-10,8,5,0,.615,5.32,3.48,,10,,Mike Bellotti (8-5),Sun Bowl-L,
16,2002,Pac-10,7,6,0,.538,4.51,2.13,15,6,,Mike Bellotti (7-6),Seattle Bowl-L,
17,2001,Pac-10,11,1,0,.917,16.92,4.67,7,2,2,Mike Bellotti (11-1),Fiesta Bowl-W,
