Rk,Year,Conf,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
1,2017,Pac-12,8,1,0,.889,17.94,-1.40,8,5,,Chris Petersen (8-1),,
2,2016,Pac-12,12,2,0,.857,19.98,3.98,14,4,4,Chris Petersen (12-2),Peach Bowl-L,
3,2015,Pac-12,7,6,0,.538,9.73,4.27,,,,Chris Petersen (7-6),Heart of Dallas Bowl-W,
4,2014,Pac-12,8,6,0,.571,6.52,1.60,25,25,,Chris Petersen (8-6),Cactus Bowl-L,
5,2013,Pac-12,9,4,0,.692,15.12,6.58,,15,25,Marques Tuiasosopo (1-0) Steve Sarkisian (8-4),Fight Hunger Bowl-W,
6,2012,Pac-12,7,6,0,.538,4.90,4.75,,23,,Steve Sarkisian (7-6),Las Vegas Bowl-L,
7,2011,Pac-12,7,6,0,.538,1.80,2.80,,22,,Steve Sarkisian (7-6),Alamo Bowl-L,
8,2010,Pac-10,7,6,0,.538,5.55,8.24,,,,Steve Sarkisian (7-6),Holiday Bowl-W,
9,2009,Pac-10,5,7,0,.417,3.61,4.94,,24,,Steve Sarkisian (5-7),,
10,2008,Pac-10,0,12,0,.000,-12.08,6.75,,,,Tyrone Willingham (0-12),,
11,2007,Pac-10,4,9,0,.308,4.41,7.64,,,,Tyrone Willingham (4-9),,
12,2006,Pac-10,5,7,0,.417,2.81,6.39,,,,Tyrone Willingham (5-7),,
13,2005,Pac-10,2,9,0,.182,-3.11,5.61,,,,Tyrone Willingham (2-9),,
14,2004,Pac-10,1,10,0,.091,-6.27,7.64,,,,Keith Gilbertson (1-10),,
15,2003,Pac-10,6,6,0,.500,3.30,2.72,17,17,,Keith Gilbertson (6-6),,
16,2002,Pac-10,7,6,0,.538,8.36,4.75,9,9,,Rick Neuheisel (7-6),Sun Bowl-L,
17,2001,Pac-10,8,4,0,.667,7.07,6.40,15,8,19,Rick Neuheisel (8-4),Holiday Bowl-L,
18,2000,Pac-10,11,1,0,.917,16.91,7.57,13,3,3,Rick Neuheisel (11-1),Rose Bowl-W,
19,1999,Pac-10,7,5,0,.583,5.68,3.60,,23,,Rick Neuheisel (7-5),Holiday Bowl-L,
20,1998,Pac-10,6,6,0,.500,4.10,6.60,18,9,,Jim Lambright (6-6),Oahu Classic-L,
21,1997,Pac-10,8,4,0,.667,18.65,8.07,4,2,18,Jim Lambright (8-4),Aloha Bowl-W,
22,1996,Pac-10,9,3,0,.750,15.02,5.94,,12,16,Jim Lambright (9-3),Holiday Bowl-L,
23,1995,Pac-10,7,4,1,.625,9.10,6.19,24,15,,Jim Lambright (7-4-1),Sun Bowl-L,
24,1994,Pac-10,7,4,0,.636,10.30,4.94,23,9,,Jim Lambright (7-4),,
25,1993,Pac-10,7,4,0,.636,11.12,4.57,12,12,,Jim Lambright (7-4),,
26,1992,Pac-10,9,3,0,.750,19.07,7.73,2,1,11,Don James (9-3),Rose Bowl-L,
27,1991,Pac-10,12,0,0,1.000,26.22,5.97,4,2,2,Don James (12-0),Rose Bowl-W,
28,1990,Pac-10,10,2,0,.833,21.62,6.87,20,2,5,Don James (10-2),Rose Bowl-W,
29,1989,Pac-10,8,4,0,.667,14.64,7.64,,11,23,Don James (8-4),Freedom Bowl-W,
30,1988,Pac-10,6,5,0,.545,8.31,6.13,,16,,Don James (6-5),,
31,1987,Pac-10,7,4,1,.625,7.72,3.89,13,10,,Don James (7-4-1),Independence Bowl-W,
32,1986,Pac-10,8,3,1,.708,17.83,7.66,16,6,18,Don James (8-3-1),Sun Bowl-L,
33,1985,Pac-10,7,5,0,.583,4.75,4.00,12,12,,Don James (7-5),Freedom Bowl-W,
34,1984,Pac-10,11,1,0,.917,15.89,1.47,18,1,2,Don James (11-1),Orange Bowl-W,
35,1983,Pac-10,8,4,0,.667,9.32,1.41,18,9,,Don James (8-4),Aloha Bowl-L,
36,1982,Pac-10,10,2,0,.833,16.48,6.40,2,1,7,Don James (10-2),Aloha Bowl-W,
37,1981,Pac-10,10,2,0,.833,11.92,3.26,15,10,10,Don James (10-2),Rose Bowl-W,
38,1980,Pac-10,9,3,0,.750,12.43,4.51,20,13,16,Don James (9-3),Rose Bowl-L,
39,1979,Pac-10,9,3,0,.750,15.90,5.82,15,6,11,Don James (9-3),Sun Bowl-W,record adjusted to 10-2-0 by NCAA
40,1978,Pac-10,7,4,0,.636,17.74,10.38,11,11,,Don James (7-4),,
41,1977,Pac-8,8,4,0,.667,17.05,7.89,,10,10,Don James (8-4),Rose Bowl-W,record adjusted to 10-2-0 by NCAA
42,1976,Pac-8,5,6,0,.455,7.44,5.44,,,,Don James (5-6),,
43,1975,Pac-8,6,5,0,.545,8.77,10.32,,,,Don James (6-5),,
44,1974,Pac-8,5,6,0,.455,3.07,6.62,,,,Jim Owens (5-6),,
45,1973,Pac-8,2,9,0,.182,-8.46,1.63,,,,Jim Owens (2-9),,
46,1972,Pac-8,8,3,0,.727,9.73,8.46,9,9,,Jim Owens (8-3),,
47,1971,Pac-8,8,3,0,.727,14.69,4.33,,11,19,Jim Owens (8-3),,
48,1970,Pac-8,6,4,0,.600,18.04,10.94,,20,,Jim Owens (6-4),,
49,1969,Pac-8,1,9,0,.100,-1.90,12.90,,,,Jim Owens (1-9),,
50,1968,Pac-8,3,5,2,.400,0.06,2.96,,,,Jim Owens (3-5-2),,
51,1967,AAWU,5,5,0,.500,6.33,4.03,,,,Jim Owens (5-5),,
52,1966,AAWU,6,4,0,.600,4.98,1.78,,,,Jim Owens (6-4),,
53,1965,AAWU,5,5,0,.500,9.66,8.56,,,,Jim Owens (5-5),,
54,1964,AAWU,6,4,0,.600,11.24,8.04,7,7,,Jim Owens (6-4),,
55,1963,AAWU,6,5,0,.545,12.09,8.91,10,10,,Jim Owens (6-5),Rose Bowl-L,
56,1962,AAWU,7,1,2,.800,16.98,6.28,10,7,,Jim Owens (7-1-2),,
57,1961,AAWU,5,4,1,.550,2.56,0.66,,,,Jim Owens (5-4-1),,
58,1960,AAWU,10,1,0,.909,14.37,1.46,3,3,6,Jim Owens (10-1),Rose Bowl-W,
59,1959,AAWU,10,1,0,.909,17.12,3.21,,8,8,Jim Owens (10-1),Rose Bowl-W,
60,1958,PCC,3,7,0,.300,-0.91,4.19,,,,Jim Owens (3-7),,
61,1957,PCC,3,6,1,.350,1.15,8.45,,,,Jim Owens (3-6-1),,
62,1956,PCC,5,5,0,.500,10.10,8.20,,,,Darrell Royal (5-5),,
63,1955,PCC,5,4,1,.550,10.13,6.63,,12,,John Cherberg (5-4-1),,
64,1954,PCC,2,8,0,.200,-6.53,5.27,,,,John Cherberg (2-8),,
65,1953,PCC,3,6,1,.350,2.47,7.07,,,,John Cherberg (3-6-1),,
66,1952,PCC,7,3,0,.700,12.96,8.76,,17,,Howard Odell (7-3),,
67,1951,PCC,3,6,1,.350,8.37,8.97,8,8,,Howard Odell (3-6-1),,
68,1950,PCC,8,2,0,.800,17.21,4.91,,10,11,Howard Odell (8-2),,
69,1949,PCC,3,7,0,.300,5.52,15.02,,,,Howard Odell (3-7),,
70,1948,PCC,2,7,1,.250,1.35,9.45,,,,Howard Odell (2-7-1),,
71,1947,PCC,3,6,0,.333,6.59,7.37,,,,Ralph Welch (3-6),,
72,1946,PCC,5,4,0,.556,1.73,0.84,,,,Ralph Welch (5-4),,
73,1945,PCC,6,3,0,.667,-3.86,-7.53,,18,,Ralph Welch (6-3),,
74,1944,PCC,5,3,0,.625,-0.22,-6.22,,,,Ralph Welch (5-3),,
75,1942,PCC,4,3,3,.550,3.18,-0.43,,,,Ralph Welch (4-3-3),,
76,1941,PCC,5,4,0,.556,15.47,12.92,,20,,James Phelan (5-4),,
77,1940,PCC,7,2,0,.778,19.31,7.98,,10,10,James Phelan (7-2),,
78,1939,PCC,4,5,0,.444,0.05,2.17,,,,James Phelan (4-5),,
79,1938,PCC,3,5,1,.389,7.76,8.98,,,,James Phelan (3-5-1),,
