Rk,Year,Conf,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
1,2017,Pac-12,6,3,0,.667,7.26,-0.74,,23,,Rich Rodriguez (6-3),,
2,2016,Pac-12,3,9,0,.250,-4.63,5.20,,,,Rich Rodriguez (3-9),,
3,2015,Pac-12,7,6,0,.538,1.27,1.12,22,16,,Rich Rodriguez (7-6),New Mexico Bowl-W,
4,2014,Pac-12,10,4,0,.714,11.90,6.12,,8,19,Rich Rodriguez (10-4),Fiesta Bowl-L,
5,2013,Pac-12,8,5,0,.615,12.60,5.07,,,,Rich Rodriguez (8-5),AdvoCare V100 Bowl-W,
6,2012,Pac-12,8,5,0,.615,9.38,5.15,,22,,Rich Rodriguez (8-5),New Mexico Bowl-W,
7,2011,Pac-12,4,8,0,.333,-1.46,4.21,,,,Mike Stoops (1-5) Tim Kish (3-3),,
8,2010,Pac-10,7,6,0,.538,8.14,6.37,,9,,Mike Stoops (7-6),Alamo Bowl-L,
9,2009,Pac-10,8,5,0,.615,6.98,3.91,,18,,Mike Stoops (8-5),Holiday Bowl-L,
10,2008,Pac-10,8,5,0,.615,9.21,-0.33,,,,Mike Stoops (8-5),Las Vegas Bowl-W,
11,2007,Pac-10,5,7,0,.417,6.04,6.46,,,,Mike Stoops (5-7),,
12,2006,Pac-10,6,6,0,.500,5.84,7.01,,,,Mike Stoops (6-6),,
13,2005,Pac-10,3,8,0,.273,0.11,5.01,,,,Mike Stoops (3-8),,
14,2004,Pac-10,3,8,0,.273,0.37,8.74,,,,Mike Stoops (3-8),,
15,2003,Pac-10,2,10,0,.167,-7.99,6.26,,,,John Mackovic (1-4) Mike Hankwitz (1-6),,
16,2002,Pac-10,4,8,0,.333,-2.73,3.60,,,,John Mackovic (4-8),,
17,2001,Pac-10,5,6,0,.455,-1.33,1.94,,,,John Mackovic (5-6),,
18,2000,Pac-10,5,6,0,.455,7.80,7.16,,21,,Dick Tomey (5-6),,
19,1999,Pac-10,6,6,0,.500,0.58,1.66,4,4,,Dick Tomey (6-6),,
20,1998,Pac-10,12,1,0,.923,14.70,0.93,24,4,4,Dick Tomey (12-1),Holiday Bowl-W,
21,1997,Pac-10,7,5,0,.583,7.91,6.66,,,,Dick Tomey (7-5),Insight Bowl-W,
22,1996,Pac-10,5,6,0,.455,4.80,3.25,,,,Dick Tomey (5-6),,
23,1995,Pac-10,6,5,0,.545,1.53,0.99,19,17,,Dick Tomey (6-5),,
24,1994,Pac-10,8,4,0,.667,8.39,2.72,7,6,20,Dick Tomey (8-4),Freedom Bowl-L,
25,1993,Pac-10,10,2,0,.833,14.87,4.37,14,7,10,Dick Tomey (10-2),Fiesta Bowl-W,
26,1992,Pac-10,6,5,1,.542,11.80,6.13,,9,,Dick Tomey (6-5-1),Sun Bowl-L,
27,1991,Pac-10,4,7,0,.364,1.75,7.84,,,,Dick Tomey (4-7),,
28,1990,Pac-10,7,5,0,.583,3.33,4.74,,16,,Dick Tomey (7-5),Aloha Bowl-L,
29,1989,Pac-10,8,4,0,.667,10.77,5.35,18,15,25,Dick Tomey (8-4),Copper Bowl-W,
30,1988,Pac-10,7,4,0,.636,10.20,7.48,,,,Dick Tomey (7-4),,
31,1987,Pac-10,4,4,3,.500,4.07,2.43,,,,Dick Tomey (4-4-3),,
32,1986,Pac-10,9,3,0,.750,17.21,5.88,,10,11,Larry Smith (9-3),Aloha Bowl-W,
33,1985,Pac-10,8,3,1,.708,8.74,1.41,,,,Larry Smith (8-3-1),Sun Bowl-T,
34,1984,Pac-10,7,4,0,.636,6.56,1.29,,,,Larry Smith (7-4),,
35,1983,Pac-10,7,3,1,.682,8.62,-0.66,14,3,,Larry Smith (7-3-1),,
36,1982,Pac-10,6,4,1,.591,13.78,7.87,,,,Larry Smith (6-4-1),,
37,1981,Pac-10,6,5,0,.545,3.07,0.07,,,,Larry Smith (6-5),,
38,1980,Pac-10,5,6,0,.455,1.13,5.68,,,,Larry Smith (5-6),,
39,1979,Pac-10,6,5,1,.542,6.60,5.68,,,,Tony Mason (6-5-1),Fiesta Bowl-L,
40,1978,Pac-10,5,6,0,.455,10.11,7.92,,,,Tony Mason (5-6),,
