Rk,Year,Conf,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
1,2017,Pac-12,8,2,0,.800,10.16,0.66,24,8,,Mike Leach (8-2),,
2,2016,Pac-12,8,5,0,.615,9.03,3.18,,20,,Mike Leach (8-5),Holiday Bowl-L,
3,2015,Pac-12,9,4,0,.692,6.55,1.48,,20,,Mike Leach (9-4),Sun Bowl-W,
4,2014,Pac-12,3,9,0,.250,-1.54,6.47,,,,Mike Leach (3-9),,
5,2013,Pac-12,6,7,0,.462,5.09,6.94,,,,Mike Leach (6-7),New Mexico Bowl-L,
6,2012,Pac-12,3,9,0,.250,-6.89,3.36,,,,Mike Leach (3-9),,
7,2011,Pac-12,4,8,0,.333,-5.61,0.14,,,,Paul Wulff (4-8),,
8,2010,Pac-10,2,10,0,.167,-4.20,7.22,,,,Paul Wulff (2-10),,
9,2009,Pac-10,1,11,0,.083,-14.87,4.88,,,,Paul Wulff (1-11),,
10,2008,Pac-10,2,11,0,.154,-13.82,3.33,,,,Paul Wulff (2-11),,
11,2007,Pac-10,5,7,0,.417,1.66,5.58,,,,Bill Doba (5-7),,
12,2006,Pac-10,6,6,0,.500,5.81,5.40,,25,,Bill Doba (6-6),,
13,2005,Pac-10,4,7,0,.364,1.60,1.88,,,,Bill Doba (4-7),,
14,2004,Pac-10,5,6,0,.455,2.67,5.39,,,,Bill Doba (5-6),,
15,2003,Pac-10,10,3,0,.769,12.31,3.00,,6,9,Bill Doba (10-3),Holiday Bowl-W,
16,2002,Pac-10,10,3,0,.769,13.47,4.01,11,3,10,Mike Price (10-3),Rose Bowl-L,
17,2001,Pac-10,10,2,0,.833,12.09,0.59,,9,10,Mike Price (10-2),Sun Bowl-W,
18,2000,Pac-10,4,7,0,.364,1.93,6.66,,,,Mike Price (4-7),,
19,1999,Pac-10,3,9,0,.250,-4.93,1.15,,,,Mike Price (3-9),,
20,1998,Pac-10,3,8,0,.273,-5.75,3.71,,,,Mike Price (3-8),,
21,1997,Pac-10,10,2,0,.833,14.21,4.71,,8,9,Mike Price (10-2),Rose Bowl-L,
22,1996,Pac-10,5,6,0,.455,1.41,2.32,,,,Mike Price (5-6),,
23,1995,Pac-10,3,8,0,.273,-2.01,2.27,,,,Mike Price (3-8),,
