Rk,Year,Conf,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
1,2017,Pac-12,8,2,0,.800,14.95,5.85,4,4,,Clay Helton (8-2),,
2,2016,Pac-12,10,3,0,.769,17.27,7.04,20,3,3,Clay Helton (10-3),Rose Bowl-W,
3,2015,Pac-12,8,6,0,.571,11.53,7.39,8,6,,Clay Helton (5-4) Steve Sarkisian (3-2),Holiday Bowl-L,
4,2014,Pac-12,9,4,0,.692,14.39,5.93,15,9,20,Steve Sarkisian (9-4),Holiday Bowl-W,
5,2013,Pac-12,10,4,0,.714,13.72,6.22,24,19,19,Clay Helton (1-0) Lane Kiffin (3-2) Ed Orgeron (6-2),Las Vegas Bowl-W,
6,2012,Pac-12,7,6,0,.538,10.53,5.76,1,1,,Lane Kiffin (7-6),Sun Bowl-L,
7,2011,Pac-12,10,2,0,.833,14.16,3.49,25,5,6,Lane Kiffin (10-2),,
8,2010,Pac-10,8,5,0,.615,9.57,6.41,14,14,,Lane Kiffin (8-5),,
9,2009,Pac-10,9,4,0,.692,9.11,3.95,4,3,22,Pete Carroll (9-4),Emerald Bowl-W,
10,2008,Pac-10,12,1,0,.923,22.24,3.86,3,1,3,Pete Carroll (12-1),Rose Bowl-W,
11,2007,Pac-10,11,2,0,.846,18.10,4.33,1,1,3,Pete Carroll (11-2),Rose Bowl-W,
12,2006,Pac-10,11,2,0,.846,20.36,7.90,6,2,4,Pete Carroll (11-2),Rose Bowl-W,
13,2005,Pac-10,12,1,0,.923,24.57,6.80,1,1,2,Pete Carroll (12-1),Rose Bowl-L,record adjusted to 0-1-0 by NCAA
14,2004,Pac-10,13,0,0,1.000,26.06,8.22,1,1,1,Pete Carroll (13-0),Orange Bowl-W,record adjusted to 11-0-0 by NCAA
15,2003,Pac-10,12,1,0,.923,23.14,3.60,8,1,1,Pete Carroll (12-1),Rose Bowl-W,
16,2002,Pac-10,11,2,0,.846,24.19,9.49,20,4,4,Pete Carroll (11-2),Orange Bowl-W,
17,2001,Pac-10,6,6,0,.500,8.92,4.67,,,,Pete Carroll (6-6),Las Vegas Bowl-L,
18,2000,Pac-10,5,7,0,.417,4.37,6.45,15,8,,Paul Hackett (5-7),,
19,1999,Pac-10,6,6,0,.500,4.62,1.95,19,16,,Paul Hackett (6-6),,
20,1998,Pac-10,8,5,0,.615,12.73,6.12,,18,,Paul Hackett (8-5),Sun Bowl-L,
